period,region,pe_id,com_id
2022-09-01,Región de los Lagos,13,13
2022-09-01,Región de los Ríos,1,1
2022-09-01,Región del Bío Bío,47,47
2022-09-01,Región del Libertador General Bernardo O’Higgins,7,7
2022-09-01,Región del Maule,4,4
2022-09-01,Santiago Metropolitan Region,22,22
2022-09-01,Tarapacá,39,39
2022-09-01,Valparaiso Region,8,8
2022-09-01,Valparaíso,298,298
2022-09-01,Valparíso,1,1
2022-09-01,desconocido,44,44
2022-09-01,Ñuble,4,4
2022-10-01,Antofagasta,54,54
2022-10-01,Araucania,4,4
2022-10-01,Araucanía,78,78
2022-10-01,Arica y Parinacota,18,18
2022-10-01,Atacama,5,5
2022-10-01,Aysén,2,2
2022-10-01,Bio Bio,6,6
2022-10-01,Bío Bío,145,145
2022-10-01,Coquimbo,51,51
2022-10-01,Los Lagos,74,74
2022-10-01,Los Ríos,13,13
2022-10-01,Los Ríos Region,1,1
2022-10-01,Los lagos,1,1
2022-10-01,Magallanes y la Antártica Chilena,1,1
2022-10-01,Maule,20,20
2022-10-01,O'Higgins,27,27
2022-10-01,RM,4,4
2022-10-01,Región Metropolitana,2173,2173
2022-10-01,Región de Antofagasta,24,24
2022-10-01,Región de Arica y Parinacota,5,5
2022-10-01,Región de Atacama,0,0
2022-10-01,Región de Coquimbo,25,25
2022-10-01,Región de Tarapacá,17,17
2022-10-01,Región de Valparaíso,76,76
2022-10-01,Región de la Araucanía,9,9
2022-10-01,Región de los Lagos,13,13
2022-10-01,Región de los Ríos,1,1
2022-10-01,Región del Bío Bío,47,47
2022-10-01,Región del Libertador General Bernardo O’Higgins,7,7
2022-10-01,Región del Maule,4,4
2022-10-01,Santiago Metropolitan Region,21,21
2022-10-01,Tarapacá,37,37
2022-10-01,Valparaiso Region,8,8
2022-10-01,Valparaíso,300,300
2022-10-01,Valparíso,1,1
2022-10-01,desconocido,43,43
2022-10-01,Ñuble,3,3
2022-11-01,Antofagasta,53,53
2022-11-01,Araucania,4,4
2022-11-01,Araucanía,77,77
2022-11-01,Arica y Parinacota,18,18
2022-11-01,Atacama,4,4
2022-11-01,Aysén,2,2
2022-11-01,Bio Bio,6,6
2022-11-01,Bío Bío,144,144
2022-11-01,Coquimbo,54,54
2022-11-01,Los Lagos,74,74
2022-11-01,Los Ríos,14,14
2022-11-01,Los Ríos Region,1,1
2022-11-01,Los lagos,1,1
2022-11-01,Magallanes y la Antártica Chilena,1,1
2022-11-01,Maule,20,20
2022-11-01,O'Higgins,29,29
2022-11-01,RM,4,4
2022-11-01,Región Metropolitana,2182,2182
2022-11-01,Región de Antofagasta,24,24
2022-11-01,Región de Arica y Parinacota,5,5
2022-11-01,Región de Atacama,0,0
2022-11-01,Región de Coquimbo,24,24
2022-11-01,Región de Tarapacá,16,16
2022-11-01,Región de Valparaíso,76,76
2022-11-01,Región de la Araucanía,9,9
2022-11-01,Región de los Lagos,13,13
2022-11-01,Región de los Ríos,1,1
2022-11-01,Región del Bío Bío,47,47
2022-11-01,Región del Libertador General Bernardo O’Higgins,7,7
2022-11-01,Región del Maule,4,4
2022-11-01,Santiago Metropolitan Region,19,19
2022-11-01,Tarapacá,39,39
2022-11-01,Valparaiso Region,8,8
2022-11-01,Valparaíso,298,298
2022-11-01,Valparíso,1,1
2022-11-01,desconocido,42,42
2022-11-01,Ñuble,4,4
2022-12-01,Antofagasta,31,31
2022-12-01,Araucania,3,3
2022-12-01,Araucanía,40,40
2022-12-01,Arica y Parinacota,7,7
2022-12-01,Atacama,2,2
2022-12-01,Aysén,1,1
2022-12-01,Bio Bio,6,6
2022-12-01,Bío Bío,74,74
2022-12-01,Coquimbo,31,31
2022-12-01,Los Lagos,52,52
2022-12-01,Los Ríos,10,10
2022-12-01,Los Ríos Region,1,1
2022-12-01,Los lagos,1,1
2022-12-01,Magallanes y la Antártica Chilena,1,1
2022-12-01,Maule,14,14
2022-12-01,O'Higgins,13,13
2022-12-01,RM,0,0
2022-12-01,Región Metropolitana,778,778
2022-12-01,Región de Antofagasta,11,11
2022-12-01,Región de Arica y Parinacota,3,3
2022-12-01,Región de Atacama,0,0
2022-12-01,Región de Coquimbo,11,11
2022-12-01,Región de Tarapacá,10,10
2022-12-01,Región de Valparaíso,42,42
2022-12-01,Región de la Araucanía,3,3
2022-12-01,Región de los Lagos,7,7
2022-12-01,Región de los Ríos,1,1
2022-12-01,Región del Bío Bío,30,30
2022-12-01,Región del Libertador General Bernardo O’Higgins,4,4
2022-12-01,Región del Maule,4,4
2022-12-01,Santiago Metropolitan Region,9,9
2022-12-01,Tarapacá,24,24
2022-12-01,Valparaiso Region,3,3
2022-12-01,Valparaíso,120,120
2022-12-01,Valparíso,1,1
2022-12-01,desconocido,25,25
2022-12-01,Ñuble,2,2
