period,region,qty_bills,total_bills,qty_pays,total_pays,qty_pay_adjust,qty_sb,sb_total,qty_incs,total_incs,qty_pfs,total_pfs,pays_vs_bills,%_real_apparent_delinquency,bills_vs_qty_sbs,cost_per_prop,total_inc_per_prop,qty_pf_per_prop,totla_pf_per_prop
2022-08-01,Antofagasta,8019.0,1134190275,7412,527079670,953,1302,502483418,0,0,2866,79877771,0.8054620276842499,46.471891147188686,0.16236438458660682,62661.60593590223,0.0,0.35740117221598705,9961.063848360145
2022-08-01,Araucania,383.0,282240959,206,23690300,23,75,19737788,0,0,158,3277246,0.47780678851174935,8.393643532085646,0.195822454308094,51534.69451697128,0.0,0.412532637075718,8556.778067885118
2022-08-01,Araucanía,7750.0,1271543340,6205,536992627,650,1933,573366561,0,0,2376,50040484,0.7167741935483871,42.23156302324701,0.24941935483870967,73982.78206451613,0.0,0.3065806451612903,6456.83664516129
2022-08-01,Arica y Parinacota,2732.0,315472849,2366,179214885,53,361,144859160,0,0,855,5270440,0.8466325036603221,56.808338837425595,0.1321376281112738,53023.11859443631,0.0,0.31295754026354317,1929.1508052708639
2022-08-01,Atacama,274.0,20771911,160,10095247,2,66,12998039,0,0,25,853000,0.5766423357664233,48.60047301377327,0.24087591240875914,47438.098540145984,0.0,0.09124087591240876,3113.1386861313867
2022-08-01,Aysén,179.0,14150554,236,7183858,96,39,6535519,0,0,0,0,0.7821229050279329,50.76732684812198,0.21787709497206703,36511.27932960894,0.0,0.0,0.0
2022-08-01,Bio Bio,364.0,23241922,310,15764435,0,87,12953485,0,0,9,75000,0.8516483516483516,67.82758758075171,0.23901098901098902,35586.49725274725,0.0,0.024725274725274724,206.04395604395606
2022-08-01,Bío Bío,15450.0,1504805775,13159,787036309,1082,3105,769113964,2,60000,3090,30312978,0.7816828478964402,52.30152103848751,0.20097087378640777,49780.83909385113,0.0078011845849154295,0.2,1962.0050485436893
2022-08-01,Coquimbo,7580.0,2629143462,5903,705871926,335,1417,611291348,3,300863,2253,75968242,0.7345646437994723,26.84798057626876,0.18693931398416885,80645.29656992084,0.049217611370478614,0.29722955145118735,10022.195514511874
2022-08-01,Los Lagos,8169.0,1133862099,6369,465790317,395,1585,457218059,0,0,2063,51386759,0.7313012608642429,41.07997942702202,0.1940261965968907,55969.893377402375,0.0,0.25254009058636306,6290.458930101604
2022-08-01,Los Ríos,1266.0,202603977,1172,113060693,127,313,110099495,1,155151,57,1673146,0.825434439178515,55.80378760284651,0.24723538704581358,86966.42575039495,0.14091890248906228,0.045023696682464455,1321.6003159557663
2022-08-01,Los Ríos Region,82.0,24920463,102,13991858,29,19,10598948,0,0,82,1155626,0.8902439024390244,56.146059565586725,0.23170731707317074,129255.46341463414,0.0,1.0,14093.0
2022-08-01,Los lagos,160.0,7021913,149,4814513,18,22,5030461,0,0,12,368993,0.81875,68.5641220561975,0.1375,31440.38125,0.0,0.075,2306.20625
2022-08-01,Magallanes y la Antártica Chilena,46.0,16538396,40,16078115,0,43,15021492,0,0,5,1326957,0.8695652173913043,97.21689455253097,0.9347826086956522,326554.17391304346,0.0,0.10869565217391304,28846.891304347828
2022-08-01,Maule,2419.0,177071370,1994,92510081,62,302,93675024,1,117000,426,7563983,0.798677139313766,52.24451643424908,0.12484497726333195,38724.6895411327,0.12489988793597748,0.17610582885489873,3126.904919388177
2022-08-01,O'Higgins,2461.0,428102390,1979,136553974,104,500,121259496,0,0,781,9567731,0.7618854124339699,31.897503305225648,0.2031694433157253,49272.44859813084,0.0,0.31735067045916293,3887.741162129216
2022-08-01,RM,431.0,116414845,418,42721633,44,126,44005384,0,0,314,2962446,0.8677494199535963,36.69775362411898,0.2923433874709977,102100.65893271462,0.0,0.728538283062645,6873.4245939675175
